index,5-13-2022,5-12-2022,5-11-2022,5-10-2022,5-9-2022,5-8-2022,5-7-2022,5-6-2022,5-5-2022,5-4-2022,5-3-2022,5-2-2022,5-1-2022,4-30-2022,4-29-2022,4-28-2022,4-27-2022,4-26-2022,4-25-2022,4-24-2022,4-23-2022,4-22-2022,4-21-2022,4-20-2022,4-19-2022,4-18-2022,4-17-2022,4-16-2022,4-15-2022,4-14-2022,4-13-2022,4-12-2022,4-11-2022,4-10-2022,4-9-2022,4-8-2022,4-7-2022,4-6-2022,4-5-2022,4-4-2022,4-3-2022,4-2-2022,4-1-2022,3-31-2022,3-30-2022,3-29-2022,3-28-2022,3-27-2022,3-26-2022,3-25-2022,3-24-2022,3-23-2022,3-22-2022,3-21-2022,3-20-2022,3-19-2022,3-18-2022,3-17-2022,3-16-2022,3-15-2022,3-14-2022,3-13-2022,3-12-2022,3-11-2022,3-10-2022,3-9-2022,3-8-2022,3-7-2022,3-6-2022,3-5-2022,3-4-2022,3-3-2022,3-2-2022,3-1-2022,2-28-2022,2-27-2022,2-26-2022,2-25-2022,2-24-2022,2-23-2022,2-22-2022,2-21-2022,2-20-2022,2-19-2022,2-18-2022,2-17-2022,2-16-2022,2-15-2022,2-14-2022,2-13-2022,2-12-2022,2-11-2022,2-10-2022,2-9-2022,2-8-2022,2-7-2022,2-6-2022,2-5-2022,2-4-2022,2-3-2022,2-2-2022,2-1-2022,1-31-2022,1-30-2022,1-29-2022,1-28-2022,1-27-2022,1-26-2022,1-25-2022,1-24-2022,1-23-2022,1-22-2022,1-21-2022,1-20-2022,1-19-2022,1-18-2022,1-17-2022,1-16-2022,1-15-2022,1-14-2022,1-13-2022,1-12-2022,1-11-2022,1-10-2022,1-9-2022,1-8-2022,1-7-2022,1-6-2022,1-5-2022,1-4-2022,1-3-2022,1-2-2022,1-1-2022,12-31-2021,12-30-2021,12-29-2021,12-28-2021,12-27-2021,12-26-2021,12-25-2021,12-24-2021,12-23-2021,12-22-2021,12-21-2021,12-20-2021,12-19-2021,12-18-2021,12-17-2021,12-16-2021,12-15-2021,12-14-2021,12-13-2021,12-12-2021,12-11-2021,12-10-2021,12-9-2021,12-8-2021,12-7-2021,12-6-2021,12-5-2021,12-4-2021,12-3-2021,12-2-2021,12-1-2021,11-30-2021,11-29-2021,11-28-2021,11-27-2021,11-26-2021,11-25-2021,11-24-2021,11-23-2021,11-22-2021,11-21-2021,11-20-2021,11-19-2021,11-18-2021,11-17-2021,11-16-2021,11-15-2021,11-14-2021,11-13-2021,11-12-2021,11-11-2021,11-10-2021,11-9-2021,11-8-2021,11-7-2021,11-6-2021,11-5-2021,11-4-2021,11-3-2021,11-2-2021,11-1-2021,10-31-2021,10-30-2021,10-29-2021,10-28-2021,10-27-2021,10-26-2021,10-25-2021,10-24-2021,10-23-2021,10-22-2021,10-21-2021,10-20-2021,10-19-2021,10-18-2021,10-17-2021,10-16-2021,10-15-2021,10-14-2021,10-13-2021,10-12-2021,10-11-2021,10-10-2021,10-9-2021,10-8-2021,10-7-2021,10-6-2021,10-5-2021,10-4-2021,10-3-2021,10-2-2021,10-1-2021,9-30-2021,9-29-2021,9-28-2021,9-27-2021,9-26-2021,9-25-2021,9-24-2021,9-23-2021,9-21-2021,9-20-2021,9-19-2021,9-18-2021,9-17-2021,9-16-2021,9-15-2021,9-14-2021,9-13-2021,9-12-2021,9-11-2021,9-10-2021,9-9-2021,9-8-2021,9-7-2021,9-6-2021,9-5-2021,9-4-2021,9-3-2021,9-2-2021,9-1-2021,8-31-2021,8-30-2021,8-29-2021,8-28-2021,8-27-2021,8-26-2021,8-25-2021,8-24-2021,8-23-2021,8-22-2021,8-21-2021,8-20-2021,8-19-2021,8-18-2021,8-17-2021,8-16-2021,8-15-2021,8-14-2021,8-13-2021,8-12-2021,8-11-2021,8-10-2021,8-9-2021,8-8-2021,8-7-2021,8-6-2021,8-5-2021,8-4-2021,8-3-2021,8-2-2021,8-1-2021,7-31-2021,7-30-2021,7-29-2021,7-28-2021,7-27-2021,7-26-2021,7-25-2021,7-24-2021,7-23-2021,7-22-2021,7-21-2021,7-20-2021,7-19-2021,7-18-2021,7-17-2021,7-16-2021,7-15-2021,7-14-2021,7-13-2021,7-12-2021,7-11-2021,7-10-2021,7-9-2021,7-8-2021,7-7-2021,7-6-2021,7-5-2021,7-4-2021,7-3-2021,7-2-2021,7-1-2021,6-30-2021,6-29-2021,6-28-2021,6-27-2021,6-26-2021,6-25-2021,6-24-2021,6-23-2021,6-22-2021,6-21-2021,6-20-2021,6-19-2021,6-18-2021,6-17-2021,6-16-2021,6-15-2021,6-14-2021,6-13-2021,6-12-2021,6-11-2021,6-10-2021,6-9-2021,6-8-2021,6-7-2021,6-6-2021,6-5-2021,6-4-2021,6-3-2021,6-2-2021,6-1-2021,5-19-2021,5-18-2021,5-17-2021,5-16-2021,5-15-2021,5-14-2021,5-13-2021,5-12-2021
US Cases,"95,826,195.00","82,260,752.00","82,145,395.00","81,983,860.00","81,890,447.00","81,777,794.00","81,766,001.00","81,735,643.00","81,640,939.00","81,640,939.00","81,440,777.00","81,371,443.00","81,276,040.00","81,260,672.00","81,237,905.00","81,156,232.00","81,082,663.00","80,998,193.00","80,943,644.00","80,869,032.00","80,856,216.00","80,836,870.00","80,766,973.00","80,708,425.00","80,645,527.00","80,595,074.00","80,534,999.00","80,524,337.00","80,512,816.00","80,466,108.00","80,408,631.00","80,354,720.00","80,325,686.00","80,275,738.00","80,267,553.00","80,254,032.00","80,209,904.00","80,174,781.00","80,125,458.00","80,097,539.00","80,056,903.00","80,051,976.00","80,040,581.00","80,008,210.00","79,969,941.00","79,920,438.00","79,894,810.00","79,852,810.00","79,845,043.00","79,833,020.00","79,799,543.00","79,762,066.00","79,714,979.00","79,669,663.00","79,623,532.00","79,616,279.00","79,604,561.00","79,568,137.00","79,532,295.00","79,492,911.00","79,467,173.00","79,418,131.00","79,411,749.00","79,400,847.00","79,356,489.00","79,315,498.00","79,268,262.00","79,236,257.00","79,173,274.00","79,166,521.00","79,166,521.00","79,099,886.00","79,048,178.00","78,984,931.00","78,942,666.00","78,834,930.00","78,825,844.00","78,800,634.00","78,714,648.00","78,641,256.00","78,556,778.00","78,433,596.00","78,378,525.00","78,352,358.00","78,306,148.00","78,195,950.00","78,092,675.00","77,951,498.00","77,835,989.00","77,629,672.00","77,595,284.00","77,531,322.00","77,361,505.00","77,188,002.00","76,961,614.00","76,767,122.00","76,419,014.00","76,358,490.00","76,234,897.00","75,924,742.00","75,612,504.00","75,286,807.00","74,990,524.00","74,328,530.00","74,211,771.00","73,961,907.00","73,423,879.00","72,896,986.00","72,210,734.00","71,697,688.00","70,667,782.00","70,468,038.00","70,130,650.00","69,305,598.00","68,557,114.00","67,705,330.00","66,526,927.00","65,814,876.00","65,476,992.00","65,058,164.00","64,124,915.00","63,230,941.00","62,370,827.00","61,600,899.00","60,166,922.00","59,851,464.00","59,405,224.00","58,476,617.00","57,745,899.00","57,041,530.00","56,155,989.00","55,137,148.00","54,850,527.00","54,689,467.00","54,242,900.00","53,657,887.00","53,168,862.00","52,788,111.00","52,244,696.00","52,054,982.00","51,996,634.00","51,812,560.00","51,547,528.00","51,303,852.00","51,114,412.00","50,811,522.00","50,739,052.00","50,663,217.00","50,493,182.00","50,346,987.00","50,201,298.00","50,084,406.00","49,881,563.00","49,845,209.00","49,793,876.00","49,628,788.00","49,505,304.00","49,356,263.00","49,242,271.00","49,044,822.00","49,010,250.00","48,947,978.00","48,798,827.00","48,662,120.00","48,520,788.00","48,411,494.00","48,195,182.00","48,171,232.00","48,144,799.00","48,095,028.00","48,064,175.00","47,944,266.00","47,851,481.00","47,692,614.00","47,661,242.00","47,619,573.00","47,500,530.00","47,390,226.00","47,275,865.00","47,185,246.00","47,036,791.00","47,011,340.00","46,949,943.00","46,822,434.00","46,757,833.00","46,659,443.00","46,575,792.00","46,449,331.00","46,427,246.00","46,395,307.00","46,303,525.00","46,220,296.00","46,135,516.00","46,058,641.00","45,934,095.00","45,915,212.00","45,885,801.00","45,797,078.00","45,710,843.00","45,616,284.00","45,528,926.00","45,423,365.00","45,406,263.00","45,376,439.00","45,289,095.00","45,207,108.00","45,120,516.00","45,036,892.00","44,914,859.00","44,892,707.00","44,859,166.00","44,760,674.00","44,671,706.00","44,565,236.00","44,453,529.00","44,330,001.00","44,306,976.00","44,269,659.00","44,155,950.00","44,051,008.00","43,925,440.00","43,826,849.00","43,654,161.00","43,628,328.00","43,584,125.00","43,458,265.00","43,341,542.00","43,213,681.00","43,100,295.00","42,905,572.00","42,871,356.00","42,819,781.00","42,678,374.00","42,404,380.00","42,274,064.00","42,065,351.00","42,026,148.00","41,956,165.00","41,790,700.00","41,635,803.00","41,448,621.00","41,289,068.00","41,027,727.00","40,988,382.00","40,914,456.00","40,738,029.00","40,567,568.00","40,383,380.00","40,081,326.00","40,005,266.00","39,960,123.00","39,894,230.00","39,702,932.00","39,527,445.00","39,316,629.00","39,156,379.00","38,875,807.00","38,833,649.00","38,745,199.00","38,552,541.00","38,364,673.00","38,193,951.00","38,043,754.00","37,777,607.00","37,744,654.00","37,657,643.00","37,455,645.00","37,296,398.00","37,133,674.00","36,980,215.00","36,727,846.00","36,684,028.00","36,633,631.00","36,446,791.00","36,308,196.00","36,152,620.00","36,047,263.00","35,812,164.00","35,776,096.00","35,733,875.00","35,565,532.00","35,438,424.00","35,325,243.00","35,175,455.00","35,039,644.00","35,016,505.00","35,015,976.00","34,861,442.00","34,765,945.00","34,603,425.00","34,494,650.00","34,405,954.00","34,391,317.00","34,335,230.00","34,285,419.00","34,221,528.00","34,160,690.00","34,097,758.00","34,041,930.00","34,032,403.00","34,019,763.00","33,967,872.00","33,932,150.00","33,894,324.00","33,851,623.00","33,819,518.00","33,813,392.00","33,804,801.00","33,769,600.00","33,746,470.00","33,713,995.00","33,690,446.00","33,685,075.00","33,681,336.00","33,676,646.00","33,656,144.00",33639627.0,33618517.0,33607895.0,33592325.0,33588160.0,33581475.0,33566512.0,33551819.0,33537764.0,33524991.0,33509001.0,33504938.0,33497177.0,33475952.0,33465562.0,33452809.0,33441920.0,33429075.0,33424159.0,33415845.0,33430296.0,33418414.0,33398257.0,33383147.0,33369389.0,33363322.0,33352885.0,33336374.0,33320769.0,33303277.0,33053583.0,33024648.0,32996738.0,32967351.0,32950735.0,32921718.0,32880674.0,32842140.0
New US Cases,"6,319.00","115,357.00","161,535.00","93,413.00","112,653.00","11,793.00","30,358.00","94,704.00","94,947.00","94,947.00","69,334.00","95,844.00","15,368.00","22,767.00","81,673.00","73,569.00","84,470.00","54,549.00","74,612.00","12,391.00","18,917.00","69,897.00","59,095.00","62,898.00","50,453.00","60,075.00","10,662.00","11,521.00","46,708.00","57,463.00","53,911.00","29,034.00","49,985.00","8,185.00","13,521.00","44,128.00","35,706.00","49,323.00","30,893.00","40,636.00","4,927.00","11,395.00","32,371.00","38,269.00","49,503.00","25,628.00","42,000.00","7,498.00","12,023.00","33,477.00","37,477.00","47,087.00","25,669.00","46,131.00","7,844.00","11,718.00","36,424.00","35,842.00","39,384.00","25,738.00","49,042.00","6,382.00","10,902.00","44,358.00","38,185.00","47,236.00","32,005.00","62,983.00","6,753.00","16,496.00","16,496.00","51,708.00","58,023.00","42,265.00","107,736.00","9,086.00","25,210.00","85,986.00","73,392.00","84,478.00","123,182.00","55,659.00","26,167.00","46,210.00","110,198.00","103,865.00","141,177.00","115,509.00","206,317.00","34,388.00","63,962.00","169,817.00","173,503.00","226,388.00","194,492.00","348,108.00","60,524.00","123,593.00","310,155.00","312,238.00","325,697.00","296,283.00","661,994.00","104,085.00","249,864.00","538,028.00","526,893.00","686,136.00","513,046.00","1,029,906.00","199,744.00","337,388.00","825,052.00","748,484.00","851,784.00","1,178,403.00","712,051.00","337,884.00","418,828.00","933,249.00","873,814.00","860,114.00","769,928.00","1,433,977.00","315,458.00","446,240.00","900,047.00","730,658.00","704,369.00","885,541.00","1,018,935.00","286,621.00","161,060.00","446,567.00","585,013.00","489,025.00","380,751.00","543,415.00","189,714.00","58,348.00","184,074.00","265,032.00","243,676.00","189,440.00","302,890.00","72,470.00","75,835.00","170,035.00","146,195.00","145,689.00","116,892.00","202,843.00","36,354.00","51,333.00","165,088.00","123,484.00","149,041.00","113,992.00","197,449.00","34,572.00","62,272.00","149,151.00","138,682.00","141,332.00","109,294.00","216,312.00","23,950.00","26,433.00","49,771.00","30,853.00","119,909.00","92,785.00","158,867.00","31,372.00","41,669.00","119,043.00","110,304.00","114,361.00","90,619.00","148,455.00","23,609.00","61,397.00","127,509.00","64,601.00","98,390.00","83,651.00","126,461.00","22,085.00","31,939.00","91,782.00","83,229.00","84,688.00","76,875.00","124,546.00","18,883.00","29,411.00","88,723.00","86,235.00","94,559.00","87,358.00","105,561.00","17,102.00","29,824.00","87,344.00","81,987.00","86,592.00","83,624.00","122,033.00","22,152.00","33,541.00","98,560.00","89,037.00","106,470.00","111,707.00","123,528.00","23,025.00","37,317.00","113,709.00","104,942.00","125,568.00","98,591.00","172,688.00","25,833.00","44,203.00","125,860.00","116,090.00","127,861.00","113,327.00","194,723.00","34,216.00","51,575.00","139,986.00","126,418.00","130,208.00","207,974.00","39,203.00","69,983.00","165,465.00","154,897.00","170,109.00","159,553.00","261,341.00","39,345.00","73,926.00","176,427.00","170,460.00","184,188.00","301,138.00","76,060.00","44,417.00","65,893.00","191,298.00","175,487.00","210,816.00","160,250.00","280,403.00","42,158.00","88,450.00","192,720.00","187,868.00","170,722.00","150,197.00","266,147.00","40,573.00","87,011.00","199,606.00","159,787.00","162,724.00","144,297.00","252,369.00","43,818.00","50,068.00","186,840.00","138,595.00","155,576.00","161,990.00","235,099.00","36,068.00","42,221.00","168,343.00","127,108.00","112,270.00","149,788.00","135,811.00","23,139.00","29,692.00","29,163.00","95,271.00","84,735.00","108,775.00","88,696.00","14,637.00","22,472.00","48,890.00","63,877.00","60,838.00","62,484.00","55,828.00","9,527.00","12,595.00","51,891.00","35,563.00","38,236.00","41,835.00","32,105.00","6,126.00","8,591.00","35,201.00","23,130.00","32,475.00","23,549.00","5,371.00","3,485.00","4,690.00","20,502.00","16,517.00",16029.0,10622.0,15570.0,4087.0,6685.0,14963.0,14707.0,14042.0,12773.0,15834.0,4063.0,7761.0,12541.0,10329.0,12662.0,10889.0,12845.0,4916.0,8314.0,26076.0,11841.0,20146.0,15048.0,13758.0,6067.0,10437.0,16511.0,19497.0,17247.0,22260.0,28935.0,27910.0,29387.0,16616.0,29017.0,41044.0,38534.0,35538.0
VISN10 Cases,"5,298,776.00","5,296,778.00","5,283,370.00","5,259,623.00","5,259,403.00","5,256,692.00","5,256,692.00","5,256,692.00","5,256,050.00","5,246,690.00","5,230,443.00","5,230,076.00","5,228,845.00","5,228,790.00","5,228,790.00","5,227,572.00","5,220,104.00","5,207,361.00","5,207,111.00","5,205,233.00","5,205,171.00","5,205,171.00","5,204,485.00","5,198,500.00","5,189,579.00","5,189,437.00","5,187,945.00","5,187,945.00","5,187,945.00","5,187,813.00","5,183,412.00","5,177,150.00","5,176,958.00","5,176,413.00","5,176,393.00","5,176,393.00","5,175,862.00","5,172,928.00","5,169,763.00","5,172,421.00","5,172,213.00","5,172,194.00","5,172,194.00","5,169,914.00","5,167,168.00","5,165,546.00","5,165,300.00","5,163,742.00","5,163,726.00","5,163,726.00","5,161,750.00","5,158,504.00","5,156,622.00","5,156,456.00","5,154,782.00","5,154,766.00","5,154,766.00","5,151,471.00","5,149,434.00","5,147,553.00","5,147,334.00","5,145,632.00","5,145,366.00","5,144,968.00","5,142,701.00","5,141,555.00","5,138,874.00","5,137,979.00","5,134,983.00","5,134,683.00","5,134,072.00","5,131,201.00","5,129,729.00","5,126,062.00","5,124,932.00","5,121,627.00","5,121,156.00","5,120,097.00","5,112,902.00","5,110,871.00","5,103,534.00","5,101,828.00","5,099,358.00","5,094,765.00","5,093,588.00","5,090,965.00","5,088,195.00","5,080,433.00","5,077,860.00","5,069,099.00","5,067,956.00","5,066,598.00","5,056,809.00","5,049,410.00","5,037,915.00","5,032,429.00","5,018,235.00","5,016,647.00","5,014,552.00","4,999,437.00","4,991,369.00","4,961,658.00","4,953,491.00","4,918,438.00","4,914,350.00","4,907,945.00","4,865,323.00","4,847,981.00","4,801,294.00","4,791,892.00","4,724,344.00","4,716,372.00","4,704,799.00","4,646,232.00","4,617,882.00","4,513,903.00","4,486,840.00","4,447,665.00","4,426,902.00","4,388,445.00","4,308,317.00","4,280,518.00","4,225,562.00","4,200,566.00","4,117,211.00","4,101,374.00","4,086,504.00","4,020,735.00","3,992,810.00","3,942,089.00","3,919,416.00","3,824,179.00","3,793,081.00","3,793,081.00","3,776,096.00","3,751,628.00","3,703,965.00","3,687,127.00","3,636,648.00","3,619,113.00","3,619,113.00","3,607,194.00","3,593,826.00","3,566,482.00","3,553,865.00","3,526,853.00","3,520,386.00","3,512,047.00","3,488,456.00","3,474,668.00","3,451,464.00","3,440,777.00","3,414,245.00","3,410,200.00","3,404,108.00","3,384,064.00","3,373,575.00","3,348,186.00","3,339,345.00","3,312,679.00","3,308,261.00","3,302,446.00","3,273,688.00","3,262,510.00","3,235,979.00","3,228,206.00","3,192,169.00","3,188,874.00","3,185,905.00","3,178,976.00","3,178,814.00","3,154,869.00","3,148,038.00","3,124,052.00","3,121,240.00","3,117,040.00","3,093,628.00","3,085,685.00","3,064,276.00","3,057,997.00","3,032,289.00","3,029,340.00","3,025,947.00","3,005,475.00","2,997,585.00","2,984,365.00","2,979,115.00","2,965,563.00","2,962,206.00","2,960,246.00","2,946,245.00","2,941,321.00","2,927,526.00","2,923,683.00","2,910,953.00","2,909,104.00","2,906,739.00","2,895,557.00","2,890,921.00","2,879,642.00","2,875,849.00","2,864,862.00","2,862,962.00","2,860,433.00","2,849,399.00","2,844,739.00","2,833,310.00","2,829,443.00","2,817,601.00","2,815,619.00","2,812,937.00","2,800,018.00","2,794,346.00","2,780,501.00","2,775,730.00","2,762,667.00","2,758,629.00","2,756,299.00","2,741,527.00","2,735,301.00","2,721,673.00","2,716,111.00","2,701,200.00","2,698,529.00","2,694,028.00","2,680,590.00","2,673,105.00","2,660,198.00","2,653,093.00","2,639,289.00","2,636,122.00","2,632,240.00","2,619,887.00","2,598,286.00","2,591,361.00","2,575,984.00","2,572,672.00","2,567,771.00","2,554,106.00","2,545,034.00","2,530,614.00","2,522,697.00","2,506,227.00","2,502,968.00","2,496,846.00","2,481,237.00","2,471,738.00","2,462,164.00","2,444,160.00","2,441,313.00","2,437,102.00","2,432,359.00","2,420,097.00","2,411,360.00","2,398,562.00","2,391,749.00","2,377,042.00","2,374,012.00","2,370,119.00","2,359,703.00","2,351,974.00","2,341,055.00","2,335,574.00","2,324,020.00","2,322,367.00","2,319,906.00","2,310,392.00","2,305,245.00","2,297,957.00","2,293,596.00","2,284,483.00","2,282,951.00","2,281,110.00","2,274,231.00","2,269,368.00","2,262,558.00","2,259,209.00","2,252,060.00","2,250,936.00","2,249,118.00","2,242,846.00","2,239,826.00","2,237,010.00","2,232,188.00","2,229,414.00","2,228,742.00","2,227,592.00","2,223,689.00","2,221,799.00","2,219,787.00","2,216,376.00","2,214,435.00","2,214,037.00","2,213,506.00","2,210,960.00","2,209,617.00","2,208,501.00","2,206,558.00","2,205,199.00","2,204,966.00","2,204,568.00","2,202,985.00","2,202,118.00","2,201,387.00","2,200,115.00","2,199,302.00","2,199,122.00","2,198,876.00","2,197,609.00","2,196,924.00","2,196,452.00","2,195,251.00","2,195,090.00","2,195,090.00","2,194,936.00","2,194,431.00",2193486.0,2192805.0,2192192.0,2191401.0,2191282.0,2191104.0,2190560.0,2189932.0,2189203.0,2188582.0,2187975.0,2187846.0,2187279.0,2186678.0,2186179.0,2185483.0,2184898.0,2184128.0,2183912.0,2183158.0,2182360.0,2181477.0,2180708.0,2179856.0,2178914.0,2178685.0,2177790.0,2176541.0,2174665.0,2173832.0,2153661.0,2150900.0,2148617.0,2145492.0,2144588.0,2142149.0,2139115.0,2135739.0
VISN10 NewCases,"1,998.00","13,408.00","23,747.00",220.00,"2,711.00",0.00,0.00,642.00,"9,360.00","16,247.00",367.00,"1,231.00",55.00,0.00,"1,218.00","7,468.00","12,743.00",250.00,"1,878.00",62.00,0.00,686.00,"5,985.00","8,921.00",142.00,"1,492.00",0.00,0.00,132.00,"4,401.00","6,262.00",192.00,545.00,20.00,0.00,531.00,"3,517.00","3,165.00",123.00,208.00,19.00,0.00,"2,280.00","2,746.00","1,622.00",246.00,"1,558.00",16.00,0.00,"1,976.00","3,246.00","1,882.00",166.00,"1,674.00",16.00,0.00,"3,295.00","2,037.00","1,881.00",219.00,"1,702.00",266.00,398.00,"2,267.00","1,146.00","2,681.00",895.00,"2,996.00",300.00,611.00,"2,871.00","1,472.00","3,667.00","1,130.00","3,305.00",471.00,"1,059.00","7,195.00","2,031.00","7,337.00","1,706.00","2,470.00","4,593.00","1,177.00","2,623.00","2,770.00","7,762.00","2,573.00","8,761.00","1,143.00","1,358.00","9,789.00","7,399.00","11,495.00","5,486.00","14,194.00","1,588.00","2,095.00","15,115.00","8,068.00","29,711.00","8,167.00","35,053.00","4,088.00","6,405.00","42,622.00","17,342.00","46,687.00","9,402.00","67,548.00","7,972.00","11,573.00","58,567.00","28,350.00","103,979.00","27,063.00","39,175.00","20,763.00","38,457.00","80,128.00","27,799.00","54,956.00","24,996.00","83,355.00","15,837.00","14,870.00","65,769.00","27,925.00","50,721.00","22,673.00","95,237.00","31,098.00",0.00,"16,985.00","24,468.00","47,663.00","16,838.00","50,479.00","17,535.00",0.00,"11,919.00","13,368.00","27,344.00","12,617.00","27,012.00","6,467.00","8,339.00","23,591.00","13,788.00","23,204.00","10,687.00","26,532.00","4,045.00","6,092.00","20,044.00","10,489.00","25,389.00","8,841.00","26,666.00","4,418.00","5,815.00","28,758.00","11,178.00","26,531.00","7,773.00","36,037.00","3,295.00","2,969.00","6,929.00",162.00,"23,945.00","6,831.00","23,986.00","2,812.00","4,200.00","23,412.00","7,943.00","21,409.00","6,279.00","25,708.00","2,949.00","3,393.00","20,472.00","7,890.00","13,220.00","5,250.00","13,552.00","3,357.00","1,960.00","14,001.00","4,924.00","13,795.00","3,843.00","12,730.00","1,849.00","2,365.00","11,182.00","4,636.00","11,279.00","3,793.00","10,987.00","1,900.00","2,529.00","11,034.00","4,660.00","11,429.00","3,867.00","11,842.00","1,982.00","2,682.00","12,919.00","5,672.00","13,845.00","4,771.00","13,063.00","4,038.00","2,330.00","14,772.00","6,226.00","13,628.00","5,562.00","14,911.00","2,671.00","4,501.00","13,438.00","7,485.00","12,907.00","7,105.00","13,804.00","3,167.00","3,882.00","12,353.00","8,258.00","6,925.00","15,377.00","3,312.00","4,901.00","13,665.00","9,072.00","14,420.00","7,917.00","16,470.00","3,259.00","6,122.00","15,609.00","9,499.00","9,574.00","18,004.00","2,847.00","4,211.00","4,743.00","12,262.00","8,737.00","12,798.00","6,813.00","14,707.00","3,030.00","3,893.00","10,416.00","7,729.00","10,919.00","5,481.00","11,554.00","1,653.00","2,461.00","9,514.00","5,147.00","7,288.00","4,361.00","9,113.00","1,532.00","1,841.00","6,879.00","4,863.00","6,810.00","3,349.00","7,149.00","1,124.00","1,818.00","6,272.00","3,020.00","2,816.00","4,822.00","2,774.00",672.00,"1,150.00","3,903.00","1,890.00","2,012.00","3,411.00","1,941.00",398.00,531.00,"2,546.00","1,343.00","1,116.00","1,943.00","1,359.00",233.00,398.00,"1,583.00",867.00,731.00,1272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
